iata_code,name,municipality,iso_country
AAL,Aalborg Airport,Aalborg,DK
AAR,Aarhus Airport,Aarhus,DK
ABQ,Albuquerque International Sunport,Albuquerque,US
ABZ,Aberdeen International Airport,Aberdeen,GB
ACE,Lanzarote Airport,Arrecife,ES
ADB,Adnan Menderes Airport,Izmir,TR
ADD,Bole International Airport,Addis Ababa,ET
AGA,Agadir Al Massira Airport,Agadir,MA
AGP,Malaga Airport,Malaga,ES
ALC,Alicante-Elche Miguel Hernandez Airport,Alicante,ES
ALG,Houari Boumediene Airport,Algiers,DZ
AMM,Queen Alia International Airport,Amman,JO
AMS,Amsterdam Airport Schiphol,Amsterdam,NL
ARN,Stockholm Arlanda Airport,Stockholm,SE
ATH,Athens International Airport,Athens,GR
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,US
AUH,Zayed International Airport,Abu Dhabi,AE
AYT,Antalya Airport,Antalya,TR
BAH,Bahrain International Airport,Manama,BH
BCN,Barcelona-El Prat Airport,Barcelona,ES
BEG,Belgrade Nikola Tesla Airport,Belgrade,RS
BER,Berlin Brandenburg Airport,Berlin,DE
BGY,Milan Bergamo Airport,Bergamo,IT
BHX,Birmingham Airport,Birmingham,GB
BIO,Bilbao Airport,Bilbao,ES
BKK,Suvarnabhumi Airport,Bangkok,TH
BLQ,Bologna Guglielmo Marconi Airport,Bologna,IT
BNE,Brisbane Airport,Brisbane,AU
BOG,El Dorado International Airport,Bogota,CO
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN
BOS,Boston Logan International Airport,Boston,US
BRE,Bremen Airport,Bremen,DE
BRI,Bari Karol Wojtyla Airport,Bari,IT
BRS,Bristol Airport,Bristol,GB
BRU,Brussels Airport,Brussels,BE
BUD,Budapest Ferenc Liszt International Airport,Budapest,HU
CAI,Cairo International Airport,Cairo,EG
CAN,Guangzhou Baiyun International Airport,Guangzhou,CN
CAG,Cagliari Elmas Airport,Cagliari,IT
CDG,Paris Charles de Gaulle Airport,Paris,FR
CGN,Cologne Bonn Airport,Cologne Bonn,DE
CLT,Charlotte Douglas International Airport,Charlotte,US
CPH,Copenhagen Airport,Copenhagen,DK
CTA,Catania Fontanarossa Airport,Catania,IT
CUN,Cancun International Airport,Cancun,MX
DEL,Indira Gandhi International Airport,Delhi,IN
DEN,Denver International Airport,Denver,US
DFW,Dallas Fort Worth International Airport,Dallas Fort Worth,US
DME,Moscow Domodedovo Airport,Moscow,RU
DOH,Hamad International Airport,Doha,QA
DTM,Dortmund Airport,Dortmund,DE
DUB,Dublin Airport,Dublin,IE
DUS,Dusseldorf Airport,Dusseldorf,DE
DXB,Dubai International Airport,Dubai,AE
EDI,Edinburgh Airport,Edinburgh,GB
EIN,Eindhoven Airport,Eindhoven,NL
EWR,Newark Liberty International Airport,Newark New York,US
FAO,Faro Airport,Faro,PT
FCO,Rome Fiumicino Airport,Rome,IT
FLL,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,US
FMO,Munster Osnabruck Airport,Munster Osnabruck,DE
FNC,Madeira Airport,Funchal,PT
FRA,Frankfurt Airport,Frankfurt,DE
GDN,Gdansk Lech Walesa Airport,Gdansk,PL
GIG,Rio de Janeiro Galeao International Airport,Rio de Janeiro,BR
GLA,Glasgow Airport,Glasgow,GB
GOT,Gothenburg Landvetter Airport,Gothenburg,SE
GRQ,Groningen Airport Eelde,Groningen,NL
GRU,Sao Paulo Guarulhos International Airport,Sao Paulo,BR
HAJ,Hannover Airport,Hannover,DE
HAM,Hamburg Airport,Hamburg,DE
HEL,Helsinki Airport,Helsinki,FI
HER,Heraklion International Airport,Heraklion,GR
HKG,Hong Kong International Airport,Hong Kong,HK
HND,Tokyo Haneda Airport,Tokyo,JP
HNL,Daniel K Inouye International Airport,Honolulu,US
HRG,Hurghada International Airport,Hurghada,EG
IAD,Washington Dulles International Airport,Washington,US
IAH,George Bush Intercontinental Airport,Houston,US
IBZ,Ibiza Airport,Ibiza,ES
INN,Innsbruck Airport,Innsbruck,AT
IST,Istanbul Airport,Istanbul,TR
JED,King Abdulaziz International Airport,Jeddah,SA
JFK,John F Kennedy International Airport,New York,US
JNB,O R Tambo International Airport,Johannesburg,ZA
KEF,Keflavik International Airport,Reykjavik,IS
KIX,Kansai International Airport,Osaka,JP
KRK,Krakow John Paul II International Airport,Krakow,PL
KUL,Kuala Lumpur International Airport,Kuala Lumpur,MY
LAS,Harry Reid International Airport,Las Vegas,US
LAX,Los Angeles International Airport,Los Angeles,US
LBA,Leeds Bradford Airport,Leeds,GB
LCY,London City Airport,London,GB
LEJ,Leipzig Halle Airport,Leipzig Halle,DE
LGA,LaGuardia Airport,New York,US
LGW,London Gatwick Airport,London,GB
LHR,London Heathrow Airport,London,GB
LIN,Milan Linate Airport,Milan,IT
LIS,Humberto Delgado Airport,Lisbon,PT
LJU,Ljubljana Joze Pucnik Airport,Ljubljana,SI
LPA,Gran Canaria Airport,Las Palmas,ES
LTN,London Luton Airport,London,GB
LUX,Luxembourg Airport,Luxembourg,LU
LYS,Lyon Saint Exupery Airport,Lyon,FR
MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,ES
MAN,Manchester Airport,Manchester,GB
MCO,Orlando International Airport,Orlando,US
MEL,Melbourne Airport,Melbourne,AU
MEX,Mexico City International Airport,Mexico City,MX
MIA,Miami International Airport,Miami,US
MLA,Malta International Airport,Malta,MT
MLE,Velana International Airport,Male,MV
MNL,Ninoy Aquino International Airport,Manila,PH
MRS,Marseille Provence Airport,Marseille,FR
MSP,Minneapolis-Saint Paul International Airport,Minneapolis Saint Paul,US
MUC,Munich Airport,Munich,DE
MXP,Milan Malpensa Airport,Milan,IT
NAP,Naples International Airport,Naples,IT
NCE,Nice Cote d Azur Airport,Nice,FR
NRT,Narita International Airport,Tokyo,JP
NUE,Nuremberg Airport,Nuremberg,DE
OPO,Francisco Sa Carneiro Airport,Porto,PT
ORD,Chicago O Hare International Airport,Chicago,US
ORY,Paris Orly Airport,Paris,FR
OSL,Oslo Gardermoen Airport,Oslo,NO
OTP,Henri Coanda International Airport,Bucharest,RO
PAD,Paderborn Lippstadt Airport,Paderborn Lippstadt,DE
PEK,Beijing Capital International Airport,Beijing,CN
PHL,Philadelphia International Airport,Philadelphia,US
PHX,Phoenix Sky Harbor International Airport,Phoenix,US
PMI,Palma de Mallorca Airport,Palma de Mallorca,ES
PMO,Palermo Falcone Borsellino Airport,Palermo,IT
PRG,Vaclav Havel Airport Prague,Prague,CZ
PSA,Pisa International Airport,Pisa,IT
PUJ,Punta Cana International Airport,Punta Cana,DO
PVG,Shanghai Pudong International Airport,Shanghai,CN
RHO,Rhodes International Airport,Rhodes,GR
RIX,Riga International Airport,Riga,LV
RUH,King Khalid International Airport,Riyadh,SA
SAN,San Diego International Airport,San Diego,US
SEA,Seattle-Tacoma International Airport,Seattle,US
SFO,San Francisco International Airport,San Francisco,US
SIN,Singapore Changi Airport,Singapore,SG
SKG,Thessaloniki Airport,Thessaloniki,GR
SOF,Sofia Airport,Sofia,BG
STN,London Stansted Airport,London,GB
STR,Stuttgart Airport,Stuttgart,DE
SVG,Stavanger Airport,Stavanger,NO
SYD,Sydney Kingsford Smith Airport,Sydney,AU
SZG,Salzburg Airport,Salzburg,AT
TFS,Tenerife South Airport,Tenerife,ES
TLV,Ben Gurion Airport,Tel Aviv,IL
TRN,Turin Airport,Turin,IT
VCE,Venice Marco Polo Airport,Venice,IT
VIE,Vienna International Airport,Vienna,AT
VLC,Valencia Airport,Valencia,ES
WAW,Warsaw Chopin Airport,Warsaw,PL
YYZ,Toronto Pearson International Airport,Toronto,CA
ZAG,Zagreb Franjo Tudman Airport,Zagreb,HR
ZRH,Zurich Airport,Zurich,CH
